station_pair,route_short_name,Direction,duration,length,duration_seconds,av_speed_kmh
East Hills Station - Holsworthy Station,T8,Outbound,0 days 00:03:00,2726.42,180,54.5284
Holsworthy Station - Glenfield Station,T8,Outbound,0 days 00:08:00,6254.75,480,46.910625
Glenfield Station - Macquarie Fields Station,T8,Outbound,0 days 00:02:00,1868.69,120,56.0607
Macquarie Fields Station - Ingleburn Station,T8,Outbound,0 days 00:03:00,1916.05,180,38.321
Ingleburn Station - Minto Station,T8,Outbound,0 days 00:04:00,3999.03,240,59.98545
Minto Station - Leumeah Station,T8,Outbound,0 days 00:04:00,2867.84,240,43.0176
Leumeah Station - Campbelltown Station,T8,Outbound,0 days 00:05:00,2066.13,300,24.79356
Campbelltown Station - Macarthur Station,T8,Outbound,0 days 00:03:00,1901.03,180,38.0206
Macarthur Station - Campbelltown Station,T8,Inbound,0 days 00:04:00,1902.36,240,28.5354
Campbelltown Station - Leumeah Station,T8,Inbound,0 days 00:03:00,2060.57,180,41.2114
Leumeah Station - Minto Station,T8,Inbound,0 days 00:03:00,2866.99,180,57.3398
Minto Station - Ingleburn Station,T8,Inbound,0 days 00:04:00,4000.81,240,60.01215
Ingleburn Station - Macquarie Fields Station,T8,Inbound,0 days 00:03:00,1916.31,180,38.3262
Macquarie Fields Station - Glenfield Station,T8,Inbound,0 days 00:05:00,1868.17,300,22.41804
Glenfield Station - Holsworthy Station,T8,Inbound,0 days 00:05:00,6279.22,300,75.35064
Holsworthy Station - East Hills Station,T8,Inbound,0 days 00:04:00,2724.56,240,40.8684
East Hills Station - Panania Station,T8,Inbound,0 days 00:02:00,1518.72,120,45.5616
Panania Station - Revesby Station,T8,Inbound,0 days 00:03:00,1579.06,180,31.5812
Revesby Station - Wolli Creek Station,T8,Inbound,0 days 00:11:00,13651.34,660,74.46185455
Wolli Creek Station - International Station,T8,Inbound,0 days 00:02:00,1297.77,120,38.9331
International Station - Domestic Station,T8,Inbound,0 days 00:02:00,1470.22,120,44.1066
Domestic Station - Mascot Station,T8,Inbound,0 days 00:03:00,1542.55,180,30.851
Mascot Station - Green Square Station,T8,Inbound,0 days 00:03:00,2483.63,180,49.6726
Green Square Station - Central Station,T8,Inbound,0 days 00:04:00,2630,240,39.45
Granville Station - Clyde Station,T2,Inbound,0 days 00:02:00,568.55,120,17.0565
Clyde Station - Auburn Station,T2,Inbound,0 days 00:03:00,2082.78,180,41.6556
Lidcombe Station - Flemington Station,T2,Inbound,0 days 00:03:00,2341.23,180,46.8246
Flemington Station - Strathfield Station,T2,Inbound,0 days 00:04:00,2444.04,240,36.6606
Burwood Station - Ashfield Station,T2,Inbound,0 days 00:03:00,2312.21,180,46.2442
Flemington Station - Homebush Station,T2,Inbound,0 days 00:02:00,1558.92,120,46.7676
Homebush Station - Strathfield Station,T2,Inbound,0 days 00:03:00,885.12,180,17.7024
Ashfield Station - Summer Hill Station,T2,Inbound,0 days 00:02:00,1288.08,120,38.6424
Summer Hill Station - Lewisham Station,T2,Inbound,0 days 00:02:00,854.63,120,25.6389
Lewisham Station - Petersham Station,T2,Inbound,0 days 00:02:00,759.23,120,22.7769
Petersham Station - Stanmore Station,T2,Inbound,0 days 00:02:00,802.06,120,24.0618
Stanmore Station - Newtown Station,T2,Inbound,0 days 00:02:00,1556.12,120,46.6836
Wolli Creek Station - Turrella Station,T8,Outbound,0 days 00:02:00,1341.91,120,40.2573
Turrella Station - Bardwell Park Station,T8,Outbound,0 days 00:03:00,1456.81,180,29.1362
Bardwell Park Station - Bexley North Station,T8,Outbound,0 days 00:02:00,1268.42,120,38.0526
Bexley North Station - Kingsgrove Station,T8,Outbound,0 days 00:02:00,1256.1,120,37.683
Kingsgrove Station - Beverly Hills Station,T8,Outbound,0 days 00:03:00,2062.04,180,41.2408
Beverly Hills Station - Narwee Station,T8,Outbound,0 days 00:02:00,1049.91,120,31.4973
Narwee Station - Riverwood Station,T8,Outbound,0 days 00:03:00,1756.66,180,35.1332
Riverwood Station - Padstow Station,T8,Outbound,0 days 00:02:00,1862.24,120,55.8672
Padstow Station - Revesby Station,T8,Outbound,0 days 00:03:00,1595.95,180,31.919
Revesby Station - Padstow Station,T8,Inbound,0 days 00:03:00,1594.64,180,31.8928
Padstow Station - Riverwood Station,T8,Inbound,0 days 00:02:00,1861.28,120,55.8384
Riverwood Station - Narwee Station,T8,Inbound,0 days 00:03:00,1761.97,180,35.2394
Narwee Station - Beverly Hills Station,T8,Inbound,0 days 00:02:00,1047.38,120,31.4214
Beverly Hills Station - Kingsgrove Station,T8,Inbound,0 days 00:03:00,2064.25,180,41.285
Kingsgrove Station - Bexley North Station,T8,Inbound,0 days 00:02:00,1256.25,120,37.6875
Bexley North Station - Bardwell Park Station,T8,Inbound,0 days 00:02:00,1267.56,120,38.0268
Bardwell Park Station - Turrella Station,T8,Inbound,0 days 00:03:00,1457.57,180,29.1514
Turrella Station - Wolli Creek Station,T8,Inbound,0 days 00:02:00,1342.64,120,40.2792
Redfern Station - Macdonaldtown Station,T2,Outbound,0 days 00:03:00,1289.93,180,25.7986
Macdonaldtown Station - Newtown Station,T2,Outbound,0 days 00:02:00,564.98,120,16.9494
Newtown Station - Stanmore Station,T2,Outbound,0 days 00:02:00,1559.06,120,46.7718
Stanmore Station - Petersham Station,T2,Outbound,0 days 00:02:00,798.1,120,23.943
Petersham Station - Lewisham Station,T2,Outbound,0 days 00:02:00,763.81,120,22.9143
Lewisham Station - Summer Hill Station,T2,Outbound,0 days 00:02:00,854.83,120,25.6449
Summer Hill Station - Ashfield Station,T2,Outbound,0 days 00:02:00,1286.82,120,38.6046
Ashfield Station - Croydon Station,T2,Outbound,0 days 00:03:00,1063.06,180,21.2612
Croydon Station - Burwood Station,T2,Outbound,0 days 00:02:00,1249.86,120,37.4958
Strathfield Station - Homebush Station,T2,Outbound,0 days 00:02:00,865.75,120,25.9725
Homebush Station - Flemington Station,T2,Outbound,0 days 00:02:00,1574.85,120,47.2455
Granville Station - Harris Park Station,T2,Outbound,0 days 00:03:00,1220.8,180,24.416
Harris Park Station - Parramatta Station,T2,Outbound,0 days 00:02:00,748.34,120,22.4502
Parramatta Station - Harris Park Station,T2,Inbound,0 days 00:02:00,753.87,120,22.6161
Harris Park Station - Granville Station,T2,Inbound,0 days 00:02:00,1213.26,120,36.3978
Newtown Station - Macdonaldtown Station,T2,Inbound,0 days 00:02:00,564.25,120,16.9275
Macdonaldtown Station - Redfern Station,T2,Inbound,0 days 00:03:00,1284.52,180,25.6904
Redfern Station - Ashfield Station,T2,Outbound,0 days 00:09:00,7117.53,540,47.4502
Auburn Station - Granville Station,T2,Outbound,0 days 00:03:00,2652.28,180,53.0456
Hornsby Station - Waitara Station,T1,Inbound,0 days 00:02:00,1046.95,120,31.4085
Waitara Station - Wahroonga Station,T1,Inbound,0 days 00:02:00,1440.31,120,43.2093
Wahroonga Station - Warrawee Station,T1,Inbound,0 days 00:02:00,822.03,120,24.6609
Warrawee Station - Turramurra Station,T1,Inbound,0 days 00:02:00,1109.82,120,33.2946
Turramurra Station - Pymble Station,T1,Inbound,0 days 00:03:00,1873.58,180,37.4716
Pymble Station - Gordon Station,T1,Inbound,0 days 00:03:00,1723.24,180,34.4648
Gordon Station - Killara Station,T1,Inbound,0 days 00:02:00,1301.82,120,39.0546
Killara Station - Lindfield Station,T1,Inbound,0 days 00:02:00,1290.05,120,38.7015
Lindfield Station - Roseville Station,T1,Inbound,0 days 00:02:00,1352.86,120,40.5858
Roseville Station - Chatswood Station,T1,Inbound,0 days 00:04:00,1536.39,240,23.04585
Chatswood Station - Artarmon Station,T1,Inbound,0 days 00:02:00,1333.45,120,40.0035
Artarmon Station - St Leonards Station,T1,Inbound,0 days 00:03:00,1888.74,180,37.7748
St Leonards Station - Wollstonecraft Station,T1,Inbound,0 days 00:02:00,1303.19,120,39.0957
Wollstonecraft Station - Waverton Station,T1,Inbound,0 days 00:02:00,1004.79,120,30.1437
Waverton Station - North Sydney Station,T1,Inbound,0 days 00:04:00,994.55,240,14.91825
North Sydney Station - Milsons Point Station,T1,Inbound,0 days 00:02:00,732.15,120,21.9645
Milsons Point Station - Wynyard Station,T1,Inbound,0 days 00:04:00,2403.26,240,36.0489
Redfern Station - Strathfield Station,T1,Outbound,0 days 00:12:00,10592.86,720,52.9643
Strathfield Station - Lidcombe Station,T1,Outbound,0 days 00:06:00,4785.28,360,47.8528
Granville Station - Parramatta Station,T1,Outbound,0 days 00:04:00,1973.9,240,29.6085
Parramatta Station - Westmead Station,T1,Outbound,0 days 00:02:00,1931.91,120,57.9573
Westmead Station - Wentworthville Station,T1,Outbound,0 days 00:03:00,1466.76,180,29.3352
Wentworthville Station - Pendle Hill Station,T1,Outbound,0 days 00:02:00,1662,120,49.86
Pendle Hill Station - Toongabbie Station,T1,Outbound,0 days 00:02:00,1672.85,120,50.1855
Toongabbie Station - Seven Hills Station,T1,Outbound,0 days 00:03:00,2098.8,180,41.976
Seven Hills Station - Blacktown Station,T1,Outbound,0 days 00:04:00,2843.23,240,42.64845
Blacktown Station - Doonside Station,T1,Outbound,0 days 00:03:00,3651.14,180,73.0228
Doonside Station - Rooty Hill Station,T1,Outbound,0 days 00:03:00,2337.21,180,46.7442
Rooty Hill Station - Mount Druitt Station,T1,Outbound,0 days 00:03:00,2382.67,180,47.6534
Mount Druitt Station - St Marys Station,T1,Outbound,0 days 00:04:00,4171.16,240,62.5674
